"TIME_PERIOD","FREQ","REF_AREA","SECTOR","COUNTERPART_SECTOR","ACCOUNTING_ENTRY","TRANSACTION","INSTR_ASSET","EXPENDITURE","UNIT_MEASURE","VALUATION","PRICE_BASE","TRANSFORMATION","TABLE_IDENTIFIER","obsValue","COUNTERPART_AREA","CONSOLIDATION","DECIMALS","UNIT_MULT","CURRENCY","CONF_STATUS","OBS_STATUS"
"2021","A","AUS","S1","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",877766,"W","_Z","2","6","AUD","F","A"
"2020","A","AUS","S1","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",779454,"W","_Z","2","6","AUD","F","A"
"2019","A","AUS","S1","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",722953,"W","_Z","2","6","AUD","F","A"
"2018","A","AUS","S1","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",677937,"W","_Z","2","6","AUD","F","A"
"2017","A","AUS","S1","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",623793,"W","_Z","2","6","AUD","F","A"
"2016","A","AUS","S1","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",589878,"W","_Z","2","6","AUD","F","A"
"2018","A","AUS","S1","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",-3861,"W","P","2","6","AUD","F","A"
"2017","A","AUS","S1","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",-3737,"W","P","2","6","AUD","F","A"
"2016","A","AUS","S1","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",-4293,"W","P","2","6","AUD","F","A"
"2023","A","AUS","S1","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",-5012,"W","P","2","6","AUD","F","A"
"2022","A","AUS","S1","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",-4932,"W","P","2","6","AUD","F","A"
"2021","A","AUS","S1","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",-5575,"W","P","2","6","AUD","F","A"
"2020","A","AUS","S1","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",-4969,"W","P","2","6","AUD","F","A"
"2019","A","AUS","S1","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",-4003,"W","P","2","6","AUD","F","A"
"2023","A","AUS","S12","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",175479,"W","N","2","6","AUD","F","A"
"2022","A","AUS","S12","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",130004,"W","N","2","6","AUD","F","A"
"2021","A","AUS","S12","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",66225,"W","N","2","6","AUD","F","A"
"2020","A","AUS","S12","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",62120,"W","N","2","6","AUD","F","A"
"2019","A","AUS","S12","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",72845,"W","N","2","6","AUD","F","A"
"2018","A","AUS","S12","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",84564,"W","N","2","6","AUD","F","A"
"2017","A","AUS","S12","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",80269,"W","N","2","6","AUD","F","A"
"2016","A","AUS","S12","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",75601,"W","N","2","6","AUD","F","A"
"2023","A","AUS","S12","S1","C","D41","_Z","_Z","XDC","S","V","N","T0800",252170,"W","N","2","6","AUD","F","A"
"2022","A","AUS","S12","S1","C","D41","_Z","_Z","XDC","S","V","N","T0800",181132,"W","N","2","6","AUD","F","A"
"2021","A","AUS","S12","S1","C","D41","_Z","_Z","XDC","S","V","N","T0800",92924,"W","N","2","6","AUD","F","A"
"2020","A","AUS","S12","S1","C","D41","_Z","_Z","XDC","S","V","N","T0800",86806,"W","N","2","6","AUD","F","A"
"2019","A","AUS","S12","S1","C","D41","_Z","_Z","XDC","S","V","N","T0800",104363,"W","N","2","6","AUD","F","A"
"2018","A","AUS","S12","S1","C","D41","_Z","_Z","XDC","S","V","N","T0800",125901,"W","N","2","6","AUD","F","A"
"2017","A","AUS","S12","S1","C","D41","_Z","_Z","XDC","S","V","N","T0800",122266,"W","N","2","6","AUD","F","A"
"2016","A","AUS","S12","S1","C","D41","_Z","_Z","XDC","S","V","N","T0800",116707,"W","N","2","6","AUD","F","A"
"2023","A","AUS","S1","S1","D","B1G","_Z","_Z","XDC","S","V","N","T0800",2672659,"W","_Z","2","6","AUD","F","A"
"2022","A","AUS","S1","S1","D","B1G","_Z","_Z","XDC","S","V","N","T0800",2567513,"W","_Z","2","6","AUD","F","A"
"2023","A","AUS","S12","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",0,"W","N","2","6","AUD","F","A"
"2022","A","AUS","S12","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",0,"W","N","2","6","AUD","F","A"
"2021","A","AUS","S12","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",0,"W","N","2","6","AUD","F","A"
"2020","A","AUS","S12","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",0,"W","N","2","6","AUD","F","A"
"2019","A","AUS","S12","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",0,"W","N","2","6","AUD","F","A"
"2018","A","AUS","S12","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",0,"W","N","2","6","AUD","F","A"
"2017","A","AUS","S12","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",0,"W","N","2","6","AUD","F","A"
"2021","A","AUS","S1","S1","D","B1G","_Z","_Z","XDC","S","V","N","T0800",2330329,"W","_Z","2","6","AUD","F","A"
"2020","A","AUS","S1","S1","D","B1G","_Z","_Z","XDC","S","V","N","T0800",2085822,"W","_Z","2","6","AUD","F","A"
"2019","A","AUS","S1","S1","D","B1G","_Z","_Z","XDC","S","V","N","T0800",1981663,"W","_Z","2","6","AUD","F","A"
"2021","A","BRA","S11","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",2360074,"W","_Z","2","6","BRL","F","A"
"2018","A","BRA","S12","S1","D","B1G","_Z","_Z","XDC","S","V","N","T0800",419897,"W","_Z","2","6","BRL","F","A"
"2017","A","BRA","S12","S1","D","B1G","_Z","_Z","XDC","S","V","N","T0800",427199,"W","_Z","2","6","BRL","F","A"
"2016","A","BRA","S12","S1","D","B1G","_Z","_Z","XDC","S","V","N","T0800",423501,"W","_Z","2","6","BRL","F","A"
"2019","A","BRA","S1","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",2076038,"W","P","2","6","BRL","F","A"
"2018","A","BRA","S1","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",2114799,"W","P","2","6","BRL","F","A"
"2017","A","BRA","S1","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",2377242,"W","P","2","6","BRL","F","A"
"2016","A","BRA","S1","S1","D","D41","_Z","_Z","XDC","S","V","N","T0800",2734142,"W","P","2","6","BRL","F","A"
"2021","A","BRA","S12","S1","D","B1G","_Z","_Z","XDC","S","V","N","T0800",443669,"W","_Z","2","6","BRL","F","A"
"2020","A","BRA","S12","S1","D","B1G","_Z","_Z","XDC","S","V","N","T0800",451173,"W","_Z","2","6","BRL","F","A"
"2019","A","BRA","S12","S1","D","B1G","_Z","_Z","XDC","S","V","N","T0800",457437,"W","_Z","2","6","BRL","F","A"
"2017","A","BRA","S1","S1","D","D1","_Z","_Z","XDC","S","V","N","T0800",2920472,"W","N","2","6","BRL","F","A"
"2016","A","BRA","S1","S1","D","D1","_Z","_Z","XDC","S","V","N","T0800",2802436,"W","N","2","6","BRL","F","A"
"2021","A","BRA","S1","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",1224646,"W","P","2","6","BRL","F","A"
"2020","A","BRA","S1","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",1143845,"W","P","2","6","BRL","F","A"
"2019","A","BRA","S1","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",1070247,"W","P","2","6","BRL","F","A"
"2018","A","BRA","S1","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",970161,"W","P","2","6","BRL","F","A"
"2017","A","BRA","S1","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",911108,"W","P","2","6","BRL","F","A"
"2016","A","BRA","S1","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",896900,"W","P","2","6","BRL","F","A"
"2021","A","BRA","S12","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",236553,"W","_Z","2","6","BRL","F","A"
