REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,Multiplicateur d'unité,REVENUE_CODE
GHA,USD,2022,2417.512,Millions,1200
ISL,USD,2016,0.514,Billions,1200
ISL,USD,2017,0.749,Billions,1200
ISL,USD,2018,0.625,Billions,1200
ISL,USD,2019,0.514,Billions,1200
ISL,USD,2020,0.476,Billions,1200
ISL,USD,2021,0.515,Billions,1200
ISL,USD,2022,0.746,Billions,1200
MLT,USD,2016,719.082,Millions,1200
MLT,USD,2017,829.908,Millions,1200
MLT,USD,2018,847.726,Millions,1200
MLT,USD,2019,899.578,Millions,1200
MLT,USD,2020,705.012,Millions,1200
MLT,USD,2021,926.435,Millions,1200
MLT,USD,2022,859.956,Millions,1200
LIE,USD,2016,258.515,Millions,1200
LIE,USD,2017,251.983,Millions,1200
LIE,USD,2018,277.001,Millions,1200
LIE,USD,2019,265.607,Millions,1200
LIE,USD,2020,602.311,Millions,1200
LIE,USD,2021,264.034,Millions,1200
LIE,USD,2022,305.291,Millions,1200
NER,USD,2016,201.696,Millions,1200
NER,USD,2017,191.745,Millions,1200
NER,USD,2018,203.368,Millions,1200
NER,USD,2019,189.55,Millions,1200
NER,USD,2020,207.345,Millions,1200
NER,USD,2021,243.546,Millions,1200
NER,USD,2022,253.996,Millions,1200
IDN,USD,2016,34289.319,Millions,1200
IDN,USD,2017,37147.73,Millions,1200
IDN,USD,2018,41204.861,Millions,1200
IDN,USD,2019,41907.632,Millions,1200
IDN,USD,2020,29205.68,Millions,1200
IDN,USD,2021,37295.204,Millions,1200
IDN,USD,2022,45799.184,Millions,1200
SGP,USD,2016,10407.032,Millions,1200
SGP,USD,2017,14345.317,Millions,1200
SGP,USD,2018,12990.776,Millions,1200
SGP,USD,2019,13583.494,Millions,1200
SGP,USD,2020,13503.229,Millions,1200
SGP,USD,2021,15669.089,Millions,1200
SGP,USD,2022,17787.252,Millions,1200
DOM,USD,2016,1501.049,Millions,1200
DOM,USD,2017,1743.404,Millions,1200
DOM,USD,2018,1775.366,Millions,1200
DOM,USD,2019,1872.031,Millions,1200
DOM,USD,2020,1599.836,Millions,1200
DOM,USD,2021,2639.548,Millions,1200
DOM,USD,2022,2557.41,Millions,1200
BRA,USD,2016,56724.507,Millions,1200
BRA,USD,2017,57812.353,Millions,1200
BRA,USD,2018,53317.732,Millions,1200
BRA,USD,2019,52606.396,Millions,1200
BRA,USD,2020,38801.67,Millions,1200
BRA,USD,2021,59789.301,Millions,1200
BRA,USD,2022,84690.882,Millions,1200
BGR,USD,2016,1204.728,Millions,1200
BGR,USD,2017,1363.321,Millions,1200
BGR,USD,2018,1495.72,Millions,1200
BGR,USD,2019,1583.76,Millions,1200
BGR,USD,2020,1509.779,Millions,1200
BGR,USD,2021,2391.409,Millions,1200
BGR,USD,2022,2637.587,Millions,1200
FJI,USD,2016,242.532,Millions,1200
FJI,USD,2017,296.938,Millions,1200
FJI,USD,2018,260.898,Millions,1200
FJI,USD,2019,236.94,Millions,1200
FJI,USD,2020,150.493,Millions,1200
FJI,USD,2021,133.963,Millions,1200
FJI,USD,2022,163.966,Millions,1200
TCD,USD,2016,65.868,Millions,1200
TCD,USD,2017,138.331,Millions,1200
TCD,USD,2018,290.389,Millions,1200
TCD,USD,2019,221.252,Millions,1200
TCD,USD,2020,757.825,Millions,1200
TCD,USD,2021,385.222,Millions,1200
TCD,USD,2022,1058.037,Millions,1200
CRI,USD,2016,1.362,Billions,1200
CRI,USD,2017,1.487,Billions,1200
CRI,USD,2018,1.586,Billions,1200
CRI,USD,2019,1.802,Billions,1200
CRI,USD,2020,1.184,Billions,1200
CRI,USD,2021,1.563,Billions,1200
CRI,USD,2022,1.837,Billions,1200
MDV,USD,2016,210.215,Millions,1200
MDV,USD,2017,215.892,Millions,1200
MDV,USD,2018,212.481,Millions,1200
MDV,USD,2019,227.941,Millions,1200
MDV,USD,2020,231.729,Millions,1200
MDV,USD,2021,163.648,Millions,1200
MDV,USD,2022,259.003,Millions,1200
CUB,USD,2016,5675.2,Millions,1200
CUB,USD,2017,6651.324,Millions,1200
CUB,USD,2018,7092.097,Millions,1200
CUB,USD,2019,7494.929,Millions,1200
CUB,USD,2020,6796.49,Millions,1200
CUB,USD,2021,1548.425,Millions,1200
CUB,USD,2022,1040.248,Millions,1200
LSO,USD,2016,70.467,Millions,1200
LSO,USD,2017,60.837,Millions,1200
LSO,USD,2018,69.683,Millions,1200
LSO,USD,2019,59.77,Millions,1200
LSO,USD,2020,52.648,Millions,1200
LSO,USD,2021,59.617,Millions,1200
LSO,USD,2022,49.427,Millions,1200
MDG,USD,2016,142.749,Millions,1200
MDG,USD,2017,169.473,Millions,1200
MDG,USD,2018,188.004,Millions,1200
MDG,USD,2019,207.177,Millions,1200
MDG,USD,2020,180.707,Millions,1200
MDG,USD,2021,211.134,Millions,1200
MDG,USD,2022,257.351,Millions,1200
GIN,USD,2016,165.772,Millions,1200
GIN,USD,2017,160.768,Millions,1200
GIN,USD,2018,185.191,Millions,1200
GIN,USD,2019,165.595,Millions,1200
GIN,USD,2020,165.732,Millions,1200
GIN,USD,2021,170.244,Millions,1200
GIN,USD,2022,292.348,Millions,1200
NGA,USD,2016,9520.988,Millions,1200
NGA,USD,2017,9610.007,Millions,1200
NGA,USD,2018,13433.018,Millions,1200
NGA,USD,2019,12255.721,Millions,1200
NGA,USD,2020,8929.485,Millions,1200
NGA,USD,2021,10336.124,Millions,1200
NGA,USD,2022,17577.359,Millions,1200
UKR,USD,2016,2356.774,Millions,1200
UKR,USD,2017,2758.972,Millions,1200
UKR,USD,2018,3904.918,Millions,1200
UKR,USD,2019,4541.472,Millions,1200
UKR,USD,2020,4395.11,Millions,1200
UKR,USD,2021,6006.048,Millions,1200
UKR,USD,2022,4037.332,Millions,1200
CIV,USD,2016,648.413,Millions,1200
CIV,USD,2017,765.67,Millions,1200
CIV,USD,2018,961.883,Millions,1200
CIV,USD,2019,883.501,Millions,1200
CIV,USD,2020,941.773,Millions,1200
CIV,USD,2021,1247.524,Millions,1200
CIV,USD,2022,1328.972,Millions,1200
SEN,USD,2016,279.197,Millions,1200
SEN,USD,2017,474.292,Millions,1200
SEN,USD,2018,505.482,Millions,1200
SEN,USD,2019,597.314,Millions,1200
SEN,USD,2020,615.706,Millions,1200
SEN,USD,2021,614.288,Millions,1200
SEN,USD,2022,724.654,Millions,1200
COK,USD,2016,11.246,Millions,1200
COK,USD,2017,15.694,Millions,1200
COK,USD,2018,17.019,Millions,1200
COK,USD,2019,11.51,Millions,1200
COK,USD,2020,10.837,Millions,1200
COK,USD,2021,4.706,Millions,1200
COK,USD,2022,3.04,Millions,1200
KIR,USD,2016,5.83,Millions,1200
KIR,USD,2017,7.797,Millions,1200
